Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,User_Score,Developer
ZhuZhu Pets,2010,Simulation,Activision,0.67,0.26,0,1.02,,,Black Lantern Studios
Tiger Woods PGA Tour 08,2007,Sports,Electronic Arts,0.93,0.01,0,1.02,72,7,EA Salt Lake
Dragon Ball Z: Budokai Tenkaichi 3,2007,Fighting,Atari,0.32,0.36,0.26,1.02,72,8.4,"Spike, Namco Bandai Games"
Shrek 2,2004,Platform,Activision,0.73,0.26,0.01,1.02,70,6.4,"Luxoflux, Inc."
NBA 2K17,2016,Sports,Take-Two Interactive,0.86,0.06,0,1.02,90,6.2,Visual Concepts
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Shooter,Ubisoft,0.87,0.05,0.02,1.02,86,8.1,"Red Storm Entertainment, Ubisoft Paris"
Sonic Unleashed,2008,Platform,Sega,0.56,0.32,0.01,1.02,54,7.9,Sonic Team
Final Fight 2,1993,Action,Capcom,0.39,0.12,0.49,1.02,,,
The Lost World: Jurassic Park,1997,Action,Electronic Arts,0.57,0.39,0,1.02,,,
Disney Universe,2011,Action,Disney Interactive Studios,0.64,0.28,0,1.02,61,6,Eurocom Entertainment Software
Dance on Broadway,2010,Misc,Ubisoft,0.25,0.65,0,1.02,48,3.3,Longtail Studios
LEGO Indiana Jones 2: The Adventure Continues,2009,Action,Activision,0.62,0.31,0,1.02,71,7.4,Traveller's Tales
Petz: Catz 2,2007,Simulation,Ubisoft,0.51,0.4,0,1.02,,9,Powerhead Games
Bulletstorm,2011,Shooter,Electronic Arts,0.61,0.32,0.01,1.02,84,7.6,"Epic Games, People Can Fly"
Skylanders SWAP Force,2013,Platform,Activision,0.43,0.42,0,1.02,83,5.3,Vicarious Visions
Madden NFL 07,2006,Sports,Electronic Arts,0.97,0.03,0,1.02,83,8.7,EA Tiburon
Sonic Generations,2011,Platform,Sega,0.44,0.47,0.01,1.02,66,6.9,"Sega, Dimps Corporation"
Rock Band 2,2008,Misc,MTV Games,0.93,0.01,0,1.02,92,7.7,Harmonix Music Systems
Harry Potter and the Prisoner of Azkaban,2004,Action,Electronic Arts,0.5,0.39,0,1.02,70,8.7,EA Games
Pokemon Conquest,2012,Role-Playing,Nintendo,0.56,0.05,0.37,1.02,80,8.2,Koei
Wall-E,2008,Platform,THQ,0.51,0.4,0,1.01,51,3.6,Heavy Iron Studios
Pong: The Next Level,1998,Puzzle,Hasbro Interactive,0.56,0.38,0,1.01,,,
Naruto: Clash of Ninja Revolution,2007,Fighting,Tomy Corporation,0.44,0.46,0,1.01,74,8,8ing/Raizing
Disney Fairies: Tinker Bell and the Lost Treasure,2009,Adventure,Disney Interactive Studios,0.56,0.34,0.02,1.01,,,Hyde
Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,0.69,0.04,0.22,1.01,80,7.9,Project Aces
The Simpsons Game,2007,Action,Electronic Arts,0.45,0.46,0,1.01,64,6.1,"Electronic Arts, Rebellion"
NBA Jam Tournament Edition,1995,Sports,Acclaim Entertainment,0.87,0.12,0,1.01,,,
Championship Manager 3,2003,Sports,Eidos Interactive,0,0.93,0,1.01,,,
Need for Speed: Most Wanted,2012,Racing,Electronic Arts,0.33,0.45,0.01,1.01,,,
Ninja Gaiden II,2008,Action,Tecmo Koei,0.65,0.22,0.05,1.01,81,8,"Team Ninja, Tecmo"
Assassin's Creed: Rogue,2014,Action,Ubisoft,0.58,0.34,0,1.01,72,7.3,Ubisoft
Rayman Legends,2014,Platform,Ubisoft,0.22,0.64,0,1.01,90,8.5,Ubisoft Montpellier
Oshare Majo Love and Berry: DS Collection,2006,Misc,Sega,0,0,1.01,1.01,,,
Prince of Persia,2008,Action,Ubisoft,0.54,0.34,0.02,1.01,81,7,Ubisoft Montreal
Monster Rancher,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,1.01,86,8.3,Tecmo
ZombiU,2012,Action,Ubisoft,0.52,0.36,0.05,1.01,77,7.7,Ubisoft Montpellier
Pokken Tournament,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,1.01,76,8,Bandai Namco Games
Ford Racing 2,2003,Racing,Empire Interactive,0.49,0.38,0,1,51,8,Razorworks Studios
Breath of Fire III,1997,Role-Playing,Capcom,0.29,0.19,0.46,1,,,
NERF N-Strike Elite,2009,Shooter,Electronic Arts,0.93,0,0,1,67,4.5,EA Salt Lake
God of War: Ghost of Sparta,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,1,86,8.4,Ready at Dawn
Dead or Alive 2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,1,,,
1942,1985,Shooter,Capcom,0.65,0.14,0.21,1,,,
Game & Watch Gallery,1997,Misc,Nintendo,0.63,0.25,0.09,1,,,
Excitebike 64,2000,Racing,Nintendo,0.65,0.15,0.19,1,,,
NES Open Tournament Golf,1991,Sports,Nintendo,0.41,0.1,0.47,1,,,
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,2004,Misc,Sammy Corporation,0,0,1,1,,,
SoulCalibur II,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,1,92,8.9,Namco
PES 2009: Pro Evolution Soccer,2008,Sports,Konami Digital Entertainment,0.13,0.76,0.03,1,,,
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,1,,,
Road & Track Presents: The Need for Speed,1995,Racing,Electronic Arts,0.56,0.38,0,1,,,
NFL GameDay 2001,2000,Sports,Sony Computer Entertainment,0.56,0.38,0,1,73,,989 Sports
NBA Live 97,1996,Sports,Electronic Arts,0.55,0.38,0,1,,,
Dynasty Warriors 3: Xtreme Legends,2002,Action,Tecmo Koei,0.13,0.1,0.74,1,72,9.3,Omega Force
Rayman Origins,2011,Platform,Ubisoft,0.33,0.49,0.01,1,87,8.4,UBlart Montpellier
Jampack Winter 2000,2000,Misc,Sony Computer Entertainment,0.55,0.38,0,1,,,
NFL Fever 2002,2000,Sports,Microsoft Game Studios,0.74,0.21,0,0.99,79,8.5,Microsoft Game Studios
Just Dance 2014,2013,Misc,Ubisoft,0.72,0.17,0,0.99,79,7.8,Ubisoft
NCAA Football 12,2011,Sports,Electronic Arts,0.94,0,0,0.99,82,6.6,EA Sports
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,0.77,0.2,0,0.99,,,
UFC Undisputed 3,2012,Action,THQ,0.72,0.2,0,0.99,85,7.6,Yuke's
Kirby: Mass Attack,2011,Platform,Nintendo,0.48,0.06,0.41,0.99,83,8.6,HAL Labs
Haze,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.99,55,6.5,Free Radical Design
Oddworld: Abe's Exoddus,1998,Platform,GT Interactive,0.55,0.38,0,0.99,88,9.1,Oddworld Inhabitants
The Bouncer,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.99,66,8,DreamFactory
DiRT 2,2009,Racing,Codemasters,0.27,0.52,0,0.99,87,8.2,Codemasters
Guitar Hero: Aerosmith,2008,Misc,Activision,0.73,0.15,0,0.99,70,5,Neversoft Entertainment
Shadow The Hedgehog,2005,Platform,Sega,0.76,0.2,0,0.99,51,6.6,Sonic Team
EyePet,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.99,70,8.2,SCEE London Studio
Apollo Justice: Ace Attorney,2007,Adventure,Capcom,0.28,0.04,0.64,0.99,78,8.1,Capcom
Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.99,75,8.3,Project Aces
Dark Souls,2011,Role-Playing,Namco Bandai Games,0.64,0.27,0,0.99,89,8.4,From Software
Cars: Race-O-Rama,2009,Racing,THQ,0.61,0.29,0,0.99,58,,Incinerator Games
Puzzler Collection,2008,Puzzle,Ubisoft,0.16,0.78,0,0.99,71,,Route 1 Games
Midnight Club: LA Remix,2008,Racing,Take-Two Interactive,0.52,0.27,0,0.98,79,8.7,Rockstar London
Pro Evolution Soccer 2008,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.98,80,6.8,Konami
Littlest Pet Shop: Winter,2008,Simulation,Electronic Arts,0.58,0.31,0,0.98,,,Electronic Arts
Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.98,,,
FIFA Soccer 10,2009,Sports,Electronic Arts,0.23,0.64,0,0.98,75,6.2,EA Sports
Tales of Graces f,2010,Role-Playing,Namco Bandai Games,0.28,0.18,0.45,0.98,77,8.2,Namco Bandai Games
Fallout 3,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0,0.98,91,7.9,Bethesda Game Studios
Mario Party Advance,2005,Misc,Nintendo,0.5,0.19,0.28,0.98,54,5.4,Hudson
Tetris 2,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.98,,,
Zoo Tycoon DS,2005,Strategy,THQ,0.86,0.03,0.01,0.98,44,6.6,Altron
NASCAR 99,1998,Racing,Electronic Arts,0.94,0.04,0,0.98,,,
WWE SmackDown vs Raw 2008,2007,Fighting,THQ,0.38,0.5,0,0.98,59,5.9,Yuke's
Air-Sea Battle,N/A,Shooter,Atari,0.91,0.06,0,0.98,,,
Dead Space 3,2013,Action,Electronic Arts,0.64,0.26,0,0.98,78,6.4,Visceral Games
Suikoden III,N/A,Role-Playing,Unknown,0.29,0.23,0.38,0.98,86,7.7,KCET
Rocksmith 2014,2013,Misc,Ubisoft,0.53,0.24,0.05,0.98,,,
Tom Clancy's Splinter Cell: Blacklist,2013,Action,Ubisoft,0.57,0.32,0.01,0.98,82,7.5,Ubisoft Toronto
Madden NFL 10,2009,Sports,Electronic Arts,0.88,0,0,0.98,,7.2,EA Tiburon
NBA 2K10,2009,Sports,Take-Two Interactive,0.88,0.02,0,0.97,82,7.6,Visual Concepts
NCAA Football 06,2005,Sports,Electronic Arts,0.73,0.21,0,0.97,87,8.3,EA Sports
Madden NFL 16,2015,Sports,Electronic Arts,0.85,0.02,0,0.97,,5.1,EA Sports
Grand Theft Auto: San Andreas,2005,Action,Take-Two Interactive,0,0.93,0,0.97,93,8.9,Rockstar North
Madden NFL 08,2007,Sports,Electronic Arts,0.89,0,0,0.97,81,5.3,EA Tiburon
Fire Emblem,2003,Strategy,Nintendo,0.49,0.18,0.29,0.97,88,9.2,Intelligent Systems
Brutal Legend,2009,Action,Electronic Arts,0.62,0.26,0,0.97,82,8,Double Fine Productions
Disney Infinity,2013,Action,Disney Interactive Studios,0.49,0.32,0,0.97,75,5.9,Avalanche Software
Tamagotchi Connection: Corner Shop 2,2006,Simulation,Namco Bandai Games,0.09,0.01,0.86,0.97,66,,NanaOn-Sha
NHL 2004,2003,Sports,Electronic Arts,0.47,0.37,0,0.97,85,7.6,EA Sports
Grand Theft Auto: Vice City Stories,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.97,75,7.9,Rockstar Leeds
Disney Tangled,2010,Action,Disney Interactive Studios,0.53,0.35,0,0.97,,,
Wheel of Fortune,2010,Misc,THQ,0.86,0.04,0,0.97,,7.6,THQ
FIFA Soccer 2005,2004,Sports,Electronic Arts,0.33,0.6,0,0.97,81,8.7,EA Canada
Mass Effect 3,2012,Role-Playing,Electronic Arts,0.4,0.44,0,0.97,89,5.5,BioWare
Cars,2006,Racing,THQ,0.85,0.04,0,0.97,54,2.1,Helixe
Band Hero,2009,Misc,Activision,0.59,0.29,0,0.97,79,6.6,Vicarious Visions
Romancing SaGa,1992,Role-Playing,SquareSoft,0,0,0.97,0.97,,,
Skylanders: Spyro's Adventure,2011,Action,Activision,0.53,0.34,0,0.97,78,5.2,Toys for Bob
Donkey Kong Junior,1981,Platform,Atari,0.9,0.05,0,0.97,,,
LEGO Harry Potter: Years 5-7,N/A,Action,Warner Bros. Interactive Entertainment,0.51,0.37,0,0.97,77,7.9,Traveller's Tales
LEGO Star Wars II: The Original Trilogy,2006,Action,LucasArts,0.75,0.19,0,0.97,84,9.1,Traveller's Tales
Medal of Honor: Underground,2000,Shooter,Electronic Arts,0.54,0.37,0,0.97,86,9,Dreamworks Interactive
Dark Cloud 2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.96,87,9.1,Level 5
Far Cry 3,2012,Shooter,Ubisoft,0.22,0.62,0,0.96,88,8.2,Ubisoft Montreal
Evolve,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.96,76,4.3,Turtle Rock Studios
Dead Space 3,2013,Action,Electronic Arts,0.44,0.36,0,0.96,76,6.4,Visceral Games
Dragon Quest X,2012,Role-Playing,Square Enix,0,0,0.96,0.96,,,Square Enix
Jampack Summer '99,1999,Misc,Sony Computer Entertainment,0.54,0.36,0,0.96,,,
Dance Dance Revolution 2nd ReMIX,1999,Simulation,Konami Digital Entertainment,0,0,0.9,0.96,,,
Mortal Kombat Trilogy,1996,Fighting,GT Interactive,0.72,0.22,0,0.96,,,
Star Soldier,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.96,,,
NHL 2001,2000,Sports,Electronic Arts,0.47,0.37,0,0.96,85,8.1,EA Sports
Farming Simulator 2013,2012,Simulation,Focus Home Interactive,0,0.81,0,0.96,65,7.5,Giants Software
Guitar Hero: Warriors of Rock,2010,Misc,Activision,0.47,0.4,0,0.96,77,7.5,"Vicarious Visions, Neversoft Entertainment"
de Blob,2008,Platform,THQ,0.49,0.37,0,0.96,82,8.6,Blue Tongue Entertainment
Dragon Quest Monsters: Terry's Wonderland 3D,2012,Role-Playing,Square Enix,0,0,0.96,0.96,,,
Shinobi,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.96,71,7.9,Overworks
Mortal Kombat: Deadly Alliance,2002,Fighting,Midway Games,0.77,0.15,0,0.96,81,8.4,Midway
The Witcher 2: Assassins of Kings,2011,Action,Namco Bandai Games,0.25,0.56,0,0.96,88,8.5,CD Projekt Red Studio
Sniper Elite V2,2012,Shooter,505 Games,0.38,0.38,0.06,0.96,70,6.9,Rebellion
ESPN NBA 2K5,2004,Sports,Global Star,0.88,0.04,0,0.95,85,8.7,Visual Concepts
Gangs of London,2006,Adventure,Sony Computer Entertainment,0.3,0.43,0,0.95,52,6.7,SCEE London Studio
Mario Tennis Open,2012,Sports,Nintendo,0.26,0.29,0.34,0.95,69,6.9,Camelot Software Planning
PilotWings Resort,2011,Simulation,Nintendo,0.4,0.36,0.13,0.95,71,7.4,Monster Games Inc.
Wheel of Fortune,N/A,Misc,Unknown,0.47,0.36,0,0.95,,,Atari
World Championship Poker,2004,Misc,Play It,0.8,0.03,0,0.95,60,7.7,Coresoft
My Weight Loss Coach,2008,Sports,Ubisoft,0.3,0.54,0,0.95,63,7.6,Ubisoft Montreal
Tom Clancy's Splinter Cell: Chaos Theory,2005,Action,Ubisoft,0.36,0.45,0,0.95,87,8.6,Ubisoft Montreal
Sonic Unleashed,2008,Platform,Sega,0.54,0.32,0,0.95,60,7.8,Sonic Team
SpongeBob SquarePants: Battle for Bikini Bottom,2003,Platform,THQ,0.74,0.19,0,0.95,71,8.6,Heavy Iron Studios
Disney Infinity 2.0: Marvel Super Heroes,2014,Action,Disney Interactive Studios,0.46,0.33,0,0.95,,,
PlayStation All-Stars Battle Royale,2012,Action,Sony Computer Entertainment,0.5,0.27,0.04,0.95,74,7.3,SuperBot Entertainment
Scooby-Doo! First Frights,2009,Action,Warner Bros. Interactive Entertainment,0.84,0.04,0,0.95,,,
Epic Mickey 2: The Power of Two,2012,Action,Disney Interactive Studios,0.67,0.21,0,0.95,,,
Mega Man Star Force Dragon / Leo / Pegasus,2006,Action,Capcom,0.39,0,0.53,0.95,,,
Pro Evolution Soccer 2014,2013,Action,Konami Digital Entertainment,0.03,0.41,0.51,0.95,78,4.1,Konami
Yakuza 4,N/A,Action,Sega,0.15,0.13,0.63,0.95,78,8,Ryu ga Gotoku Studios
Wild ARMs,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.95,,,
Tom Clancy's Ghost Recon: Future Soldier,2012,Shooter,Ubisoft,0.41,0.32,0.09,0.95,79,6.9,Ubisoft Paris
Kessen,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.95,75,8.4,Koei
Driver: San Francisco,2011,Racing,Ubisoft,0.24,0.52,0.01,0.95,79,7.7,Ubisoft Reflections
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,2003,Misc,Konami Digital Entertainment,0.68,0.25,0,0.95,,,
NCAA Football 2000,1999,Sports,Electronic Arts,0.53,0.36,0,0.95,,,
Ben 10: Alien Force,2008,Action,Koch Media,0.65,0.22,0,0.95,,2.8,Monkey Bar Games
Army of Two: The 40th Day,2010,Shooter,Electronic Arts,0.62,0.24,0,0.95,73,7.3,EA Montreal
Sonic & Sega All-Stars Racing,2010,Racing,Sega,0.36,0.43,0,0.95,,,
Just Dance 2016,2015,Misc,Ubisoft,0.41,0.46,0,0.95,,,Ubisoft
Skylanders: Trap Team,2014,Action,Activision,0.41,0.46,0,0.95,,,Toys for Bob
Lost Planet 2,2010,Shooter,Capcom,0.29,0.33,0.2,0.95,68,6.9,Capcom
LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,0.36,0.43,0,0.95,73,7.1,Traveller's Tales
NBA 2K16,2015,Sports,Take-Two Interactive,0.79,0.05,0,0.94,,3.2,Visual Concepts
Killzone,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.94,70,7.4,Guerrilla
Colin McRae Rally 04,2003,Racing,Codemasters,0.01,0.71,0.01,0.94,,,
Club Penguin: Game Day!,2010,Sports,Disney Interactive Studios,0.54,0.32,0,0.94,,,
The SpongeBob SquarePants Movie,2004,Platform,THQ,0.73,0.19,0,0.94,73,7.8,Heavy Iron Studios
Star Fox 64 3D,2011,Shooter,Nintendo,0.48,0.27,0.13,0.94,81,8.2,Nintendo
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,1996,Misc,GT Interactive,0.52,0.36,0,0.94,,,
Castlevania: Lament of Innocence,2003,Action,Konami Digital Entertainment,0.46,0.36,0,0.94,79,8.4,KCET
Rocksmith 2014,2013,Misc,Ubisoft,0.69,0.16,0,0.94,,,
Tom Clancy's Splinter Cell: Blacklist,2013,Action,Ubisoft,0.34,0.39,0.06,0.94,84,7.7,Ubisoft Toronto
Destroy All Humans!,2005,Shooter,THQ,0.78,0.03,0,0.94,,,
Skylanders: Spyro's Adventure,2011,Action,Activision,0.39,0.39,0,0.94,77,4.8,Toys for Bob
MVP Baseball 2005,2005,Sports,Electronic Arts,0.7,0.2,0,0.94,86,,EA Sports
SaGa Frontier 2,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.94,,,
Phantasy Star Portable,2008,Role-Playing,Sega,0.19,0.06,0.63,0.94,64,7.8,Alfa System
WWE SmackDown vs. Raw 2009,2008,Fighting,THQ,0.51,0.3,0.01,0.94,78,7,Yuke's
NCAA Football 10,2009,Sports,Electronic Arts,0.87,0,0,0.94,83,6.7,EA Tiburon
Brutal Legend,2009,Action,Electronic Arts,0.54,0.27,0,0.94,83,7.6,Double Fine Productions
Tony Hawk: RIDE,2009,Sports,Activision,0.69,0.17,0,0.94,47,4.5,Buzz Monkey
MLB 2000,1999,Sports,Sony Computer Entertainment,0.52,0.35,0,0.94,,,
Bully,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.94,87,9.1,Rockstar Vancouver
Rise of the Tomb Raider,2016,Adventure,Square Enix,0.23,0.53,0.04,0.94,,,
Prince of Persia: The Sands of Time,2003,Action,Ubisoft,0.57,0.33,0,0.94,92,7.8,Ubisoft
Hot Shots Golf Fore!,2003,Sports,Sony Computer Entertainment,0.46,0.36,0,0.94,,,
MLB 06: The Show,2006,Sports,Sony Computer Entertainment,0.78,0.03,0,0.94,83,8.9,SCEA San Diego Studios
NHL 2003,2002,Sports,Electronic Arts,0.46,0.36,0,0.93,79,6.8,EA Sports
Naruto Shippuden: Ultimate Ninja Storm 3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.93,77,7.9,CyberConnect2
EA Sports UFC 2,2016,Sports,Electronic Arts,0.29,0.49,0,0.93,79,6.2,EA Sports
The Sims 2,2005,Simulation,Electronic Arts,0.81,0.05,0,0.93,70,6.1,Griptonite Games
Bentley's Hackpack,2005,Misc,N/A,0.67,0.25,0,0.93,,,
Tony Hawk's Pro Skater 4,2002,Sports,Activision,0.59,0.3,0,0.93,90,8.5,Neversoft Entertainment
Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,0.56,0.28,0,0.93,85,6.9,BioWare
White Knight Chronicles: International Edition,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.93,64,7.5,Level 5
SingStar Abba,2008,Misc,Sony Computer Entertainment,0.27,0.5,0,0.93,70,5.5,SCEE London Studio
Crash City Mayhem,2004,Racing,THQ,0.67,0.25,0,0.93,,,
Spider-Man,1981,Action,Parker Bros.,0.87,0.05,0,0.93,,,
Kirby: Planet Robobot,2016,Action,Nintendo,0.28,0.14,0.47,0.93,81,8.7,HAL Labs
Toy Story 2: Buzz Lightyear to the Rescue!,1999,Platform,Activision,0.71,0.2,0,0.93,,,
Castlevania II: Simon's Quest,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.93,,,
Mega Man 4,1991,Platform,Capcom,0.51,0.09,0.32,0.93,,,
Guitar Hero: Metallica,2009,Misc,Activision,0.4,0.43,0,0.93,85,8.6,Neversoft Entertainment
Teenage Mutant Ninja Turtles,2003,Action,Unknown,0.67,0.25,0,0.93,71,8.8,Konami
Bayonetta,2009,Action,Sega,0.51,0.25,0.09,0.93,90,8,PlatinumGames
MLB 07: The Show,2007,Sports,Sony Computer Entertainment,0.77,0.03,0,0.93,83,8.6,SCEA
Cars,2006,Racing,THQ,0.72,0.19,0,0.93,71,7,Rainbow Studios
Build-A-Bear Workshop,2007,Simulation,Game Factory,0.85,0.01,0,0.93,61,4.8,Neko Entertainment
Kingdom Hearts Re:coded,2010,Role-Playing,Square Enix,0.53,0.09,0.27,0.93,66,7,"Square Enix, h.a.n.d. Inc."
Operation Flashpoint: Dragon Rising,2009,Shooter,Codemasters,0.36,0.45,0.02,0.93,77,7.8,Codemasters
Inazuma Eleven 3,2010,Role-Playing,Level 5,0,0,0.93,0.93,,,
Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0,0.93,73,7.1,TT Games
Wipeout: In The Zone,2011,Misc,Activision,0.87,0,0,0.93,39,5.6,Activision
SnoCross Championship Racing,1999,Racing,Ubisoft,0.52,0.35,0,0.93,66,,UDS
Brothers in Arms: Hell's Highway,2008,Shooter,Ubisoft,0.44,0.34,0,0.93,76,8,Gearbox Software
The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.93,80,6.8,TT Games
Assassin's Creed III,2012,Action,Ubisoft,0.28,0.53,0,0.93,80,6.2,Ubisoft
Borderlands 2,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.93,89,8.2,Gearbox Software
Teenage Mutant Ninja Turtles,2003,Action,Konami Digital Entertainment,0.45,0.35,0,0.92,59,8.7,KCE Studios
Disney Magical World,2013,Adventure,Nintendo,0.17,0.2,0.53,0.92,71,7.5,h.a.n.d. Inc.
Top Gun: Combat Zones,2001,Simulation,Titus,0.45,0.35,0,0.92,63,3.3,Titus Software
NCAA Football 11,2010,Sports,Electronic Arts,0.86,0,0,0.92,86,7.1,EA Tiburon
007: The World is not Enough,2000,Action,Electronic Arts,0.51,0.35,0,0.92,61,6.7,Black Ops Entertainment
Cars,2006,Racing,THQ,0.83,0.03,0,0.92,65,,Rainbow Studios
Monster High: Ghoul Spirit,2011,Misc,THQ,0.69,0.16,0,0.92,,,ImaginEngine
Phoenix Wright: Ace Attorney,2005,Adventure,Capcom,0.44,0.05,0.39,0.92,81,9.2,Capcom
MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.68,0.08,0,0.92,80,7.8,SCEA San Diego Studios
South Park: The Stick of Truth,2014,Role-Playing,Ubisoft,0.43,0.34,0,0.92,85,8.5,Obsidian Entertainment
South Park: The Stick of Truth,2014,Role-Playing,Ubisoft,0.58,0.26,0,0.92,82,8.4,Obsidian Entertainment
NHL 98,1997,Sports,Electronic Arts,0.51,0.35,0,0.92,,,
Space Jam,1996,Sports,Acclaim Entertainment,0.51,0.35,0,0.92,,,
Balloon Fight,1985,Platform,Nintendo,0.39,0.09,0.43,0.92,,,
Knockout Kings 2000,1999,Fighting,Electronic Arts,0.63,0.27,0,0.92,,,
MLB 12: The Show,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.92,87,7.5,SCEA San Diego Studios
SpongeBob SquarePants: The Yellow Avenger,2006,Action,THQ,0.55,0.21,0,0.92,48,6.4,Tantalus Interactive
Dante's Inferno,2010,Action,Electronic Arts,0.63,0.2,0.02,0.92,73,7.7,Visceral Games
Wii Play: Motion,2011,Misc,Nintendo,0.23,0.42,0.18,0.92,60,6.1,Nintendo
WWE SmackDown vs. Raw 2009,2008,Fighting,THQ,0.58,0.26,0,0.92,79,7.1,Yuke's
Sonic Riders,2006,Racing,Sega,0.71,0.18,0,0.92,59,8,Sonic Team
Starsky & Hutch,2003,Racing,Empire Interactive,0.45,0.35,0,0.92,,,
Tobal No.1,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.92,,,
Blue Dragon,2006,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.92,79,7.8,"Mistwalker, Artoon"
Buzz! Quiz World,2009,Misc,Sony Computer Entertainment,0.16,0.57,0,0.91,,,
Harvest Moon 3D: A New Beginning,2012,Action,Marvelous Entertainment,0.41,0.17,0.3,0.91,74,8.2,Marvelous AQL
Kung Fu Panda,2008,Action,Activision,0.5,0.32,0,0.91,70,6.7,Xpec
Street Hoops,2002,Sports,Activision,0.45,0.35,0,0.91,,,
EA Sports Grand Slam Tennis,2009,Sports,Electronic Arts,0.28,0.51,0.02,0.91,,,
EA Sports Active 2,2010,Sports,Electronic Arts,0.52,0.27,0,0.91,78,5.4,EA Canada
Nickelodeon Fit,2010,Sports,Take-Two Interactive,0.76,0.09,0,0.91,,,High Voltage Software
Knockout Kings 2002,2002,Sports,Electronic Arts,0.45,0.35,0,0.91,76,8.1,Electronic Arts
Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0,0.91,,,
Tom Clancy's EndWar,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.91,77,7.2,Ubisoft Shanghai
LEGO Harry Potter: Years 5-7,N/A,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0,0.91,76,8.3,Traveller's Tales
Tokyo Xtreme Racer 3,2003,Racing,Genki,0.35,0.27,0.21,0.91,63,8.9,Genki
Xenoblade Chronicles,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.91,92,8.9,Monolith Soft
Assassin's Creed,2008,Adventure,Ubisoft,0.01,0.83,0,0.91,,,
Glover,1998,Platform,Hasbro Interactive,0.72,0.17,0,0.91,,,
Colin McRae Rally 2.0,2000,Racing,Codemasters,0.02,0.8,0.02,0.91,90,8.7,Codemasters
Dynasty Warriors 7,2011,Action,Tecmo Koei,0.25,0.13,0.46,0.91,57,7.4,Omega Force
NBA 2K14,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.91,86,5.7,Visual Concepts
Namco Museum,N/A,Misc,Unknown,0.77,0.11,0,0.91,59,,Mass Media
SSX,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.91,81,6.8,EA Canada
Sonic Riders: Zero Gravity,2008,Racing,Sega,0.48,0.32,0.02,0.91,56,8.1,Sonic Team
AMF Bowling Pinbusters!,2007,Sports,Bethesda Softworks,0.84,0,0,0.91,,,
