Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,User_Score,Developer
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo,4.34,2.65,3.15,10.49,,,
Super Mario 64,2004,Platform,Nintendo,5.01,3.07,1.25,10.3,,,
Call of Duty: Ghosts,2013,Shooter,Activision,6.73,2.56,0.04,10.25,73,2.6,Infinity Ward
Just Dance 3,2011,Misc,Ubisoft,5.95,3.11,0,10.12,74,7.8,Ubisoft
New Super Mario Bros. 2,2012,Platform,Nintendo,3.66,3.14,2.47,9.9,78,7.2,Nintendo
Mario Kart 64,1996,Racing,Nintendo,5.55,1.94,2.23,9.87,,,
Halo: Reach,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,9.86,91,7.9,Bungie
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,9.72,92,9.2,SquareSoft
Halo 4,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,9.71,87,7,343 Industries
Gran Turismo 2,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,9.49,93,9,Polyphony Digital
Just Dance 2,2010,Misc,Ubisoft,5.8,2.85,0.01,9.44,74,7.3,Ubisoft
Call of Duty: Ghosts,2013,Shooter,Activision,4.1,3.63,0.38,9.36,71,2.6,Infinity Ward
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,5.93,2.36,0.13,9.31,94,8.4,Infinity Ward
Donkey Kong Country,1994,Platform,Nintendo,4.36,1.71,3,9.3,,,
Minecraft,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,9.18,,,
Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.03,2.36,4.39,9.16,88,8.7,Nintendo
Mario Party DS,2007,Misc,Nintendo,4.4,1.85,1.98,8.91,72,7.8,Hudson Soft
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,8.79,96,8.4,Bethesda Game Studios
Super Mario Kart,1992,Racing,Nintendo,3.54,1.24,3.81,8.76,,,
FIFA 16,2015,Sports,Electronic Arts,1.12,6.12,0.06,8.57,82,4.3,EA Sports
Halo 2,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,8.49,95,8.2,Bungie Software
Wii Party,2010,Misc,Nintendo,1.75,3.47,2.49,8.38,68,7.4,Nd Cube
Mario Party 8,2007,Misc,Nintendo,3.74,2.24,1.58,8.27,62,6.3,Hudson
FIFA Soccer 13,2012,Action,Electronic Arts,1.06,5.01,0.13,8.16,88,6.6,Electronic Arts
GoldenEye 007,1997,Shooter,Nintendo,5.8,2.01,0.13,8.09,,,
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,2.79,1.72,3.14,8.07,,,
