sample_date,site,sampling_point,latitude,longitude,Ca-AA,Mg-AA,Na-AA,K-AA,NO3-N,Alkal,Cl,SO4,NH4-N,PO4-P,DOC,Cnd-L,TDP,TP,Si,Ca-IC,Mg-IC,Na-IC,K-IC,Cnd-F,O2%,O2,Discharge,TSS
#,,,degree,degree,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,milligramsPerLiter,milligramsPerLiter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,microsiemensPerCentimeter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,dimensionless,milligramsPerLiter,litersPerSecond,milligramsPerLiter
2014-10-27,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.021314157,5162.7793,6.415329,44.033257,3.2348053,5.120905,0.6050696,,,,,83.64242,24.79673,3.936852,0.83951765,534,104.1,10.42,,
2014-03-11,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5093.342,8.5505085,37.13309,33.131912,,0.64060974,534,1.8283582,,,36.99012,23.745949,3.9131153,0.7721864,514.3,15.7,1.74,,
2014-03-11,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.052395474,5205.33,9.277106,59.500587,22.628822,,0.51114315,576,4.6540027,,,86.5001,25.607197,4.2462587,0.9051641,547.3,34.6,3.77,,
2014-03-11,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.05453956,5172.107,7.335192,53.640312,13.804356,1.7551755,0.58759373,558,3.3242877,,,84.4963,24.912205,4.047169,0.8701246,531.1,47,5.25,,
2014-03-11,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5136.407,7.1269097,46.92663,3.4993255,3.0952382,0.5633908,554,2.991859,,,47.48579,23.292387,3.6989133,0.850423,527.4,95.2,9.7,,
2013-10-28,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5283.267,7.9729137,48.923088,17.28569,5.6281834,0.4119787,577,6.9881425,,6.179675,86.564095,25.499144,4.175496,0.94145894,566.6,13.2,1.45,,
2013-10-28,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.0122625455,5090.396,6.366125,44.198277,4.938769,2.8140917,0.4515149,550,4.9841895,,4.242762,81.88849,24.306742,3.9292302,0.8062308,542.2,126.4,12.75,,
2013-08-21,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5203.393,5.9148397,52.46191,26.72083,6.282323,0.3720006,,,,,71.922356,26.544533,3.9012978,0.33424073,565.7,32.6,3.46,,
2013-08-21,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.00889361,5044.013,4.7902308,46.888805,5.4407783,2.4798644,0.38551223,,,,,69.17286,25.136337,3.5691433,0.34581113,554.2,94.3,8.22,,
2013-06-19,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5199.546,8.304832,49.985153,24.842669,6.620074,0.39011374,,9.300118,,,,,,,557.3,26.8,2.87,,
2013-06-19,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5030.8657,7.5425034,44.686512,4.901808,1.5647447,0.40313324,,3.4347029,,,,,,,535.7,57.7,5.44,,
2013-03-21,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0032901648,4668.9404,7.866599,5.929381,24.75506,0.9302326,0.41246644,,2.5469396,,,56.448505,23.345716,3.931231,0.9755677,427,20.5,2.2,,
2013-03-21,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.033411246,5043.6514,6.0666265,44.438133,4.4665093,2.8488371,0.40925545,,4.4181604,,,78.02887,23.400799,3.9003863,0.96335685,521,65.8,7.09,,
2012-12-19,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5190.2646,9.524194,48.076504,24.743753,,0.020767264,548,8.772512,,6.387202,53.256905,24.981668,3.8757408,0.80436796,556.9,27.7,3.09,,
2012-12-19,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.017220771,4998.9116,7.728885,41.754955,4.7977552,3.2925763,0.050781228,529,3.8872213,,6.548611,78.1077,23.390533,3.8667169,0.8628138,524,108,11.33,,
2012-08-09,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0051110773,5473.245,8.753403,46.986958,25.621073,0.71945506,0.58937854,580,3.2581453,,,70.263725,25.964493,3.8714104,0.82876086,553.9,11.1,1.18,,
2012-08-09,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.026445558,5050.1743,6.5481706,41.26342,10.498165,1.8816518,0.5281408,534,3.4210527,,,80.2541,23.551216,4.002525,0.81916577,510.1,44.9,3.81,,
2012-04-26,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0072302287,5238.3745,8.558988,51.413456,19.907585,3.9911284,0.6280828,577,7.610012,,6.364143,,,,,534.8,42.5,4.57,,
2012-04-26,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.021846002,5009.4897,6.558291,45.51018,6.1433563,3.1710336,0.41112998,542,6.665321,,6.7100205,,,,,503.4,79.2,7.99,,
2012-02-10,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5038.775,5.7558846,41.173283,10.461234,2.1253693,0.34771565,544,2.896936,,6.7561374,81.31342,26.41166,3.394963,0.6099425,497.8,57.9,6.79,,
2011-10-07,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0017665616,5173.337,7.8793406,51.534718,19.773756,9.7029705,,567,14.136126,,,,,,,558,1.6,0.18,,
2011-10-07,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.006688733,5009.7124,6.1356187,46.300323,4.020979,2.665651,,536,6.5968585,,,,,,,529,138,13.13,,
2011-06-06,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.008060868,5011.547,8.199033,49.248665,20.998114,1.6383907,,,3.0388272,,,,,,,575.6,5.1,0.58,,
2011-06-06,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.21136072,4915.0444,6.4643226,44.80464,8.131501,,,,2.4207606,,,,,,,561.4,19.3,1.71,,
2011-03-16,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.034552462,5007.024,6.6997333,43.161346,8.308507,,0.58673865,536,1.7449013,,,80.29127,23.81461,3.9920774,0.858892,528.1,108.5,12.13,,
2011-03-16,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.010768528,5102.961,7.8332314,48.39382,20.198267,,0.8353156,558,1.4276465,,,83.53587,24.900814,4.0730133,0.71334517,535.7,14.7,1.65,,
2010-11-18,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0015694266,5100.4644,7.709022,47.391853,15.265432,,,557,0.66745657,,,89.9195,26.681684,3.9168243,0.44040364,560,12.3,1.42,,
2010-11-18,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.012959841,4994.0806,6.368241,44.349026,3.411407,,,539,2.5157979,,,86.2187,25.717287,3.7861142,0.45575607,549,68.7,6.7,,
2010-09-10,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.001964369,4964.166,7.8712454,50.647682,22.745935,4.413088,,621,,,,86.076324,25.781422,3.8974264,1.1003138,563.2,13.3,1.51,,
2010-09-10,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.012956582,4923.5435,6.3685617,45.9448,8.221134,1.8609407,,597,,,,82.81984,24.814058,3.6411982,0.98992896,543,55,5.69,,
2010-06-10,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0012519564,5115.6543,7.910378,50.198303,14.357536,,,562,3.1480887,,,75.0146,25.610754,4.078011,0.8257339,564.1,11.4,1.28,,
2010-06-10,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5024.088,6.3273225,45.823704,1.8484254,2.573196,,532,3.1480887,,,80.98336,24.210478,3.7660313,0.7808039,544.1,96.7,9.35,,
2010-05-24,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5231.6304,8.165554,50.497498,17.991543,,,560,5.5302386,,,84.330635,25.34861,4.103245,0.78569317,562.9,5.3,0.6,,
2010-05-24,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.007708501,5109.737,6.50966,44.819878,6.321353,3.932773,,533,5.217206,,,80.698296,24.137531,3.5340545,0.64801437,539,40.1,4.09,,
2010-03-04,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0.0054651173,4279.474,7.249778,6.031426,23.753885,0.36250538,0.19360329,389,1.5330065,,3.6865025,57.452003,22.943176,4.016686,0.7510339,428,15.4,1.74,,
2010-03-04,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.016561028,4917.7817,5.5726585,43.687096,0.9423566,1.8682969,0.092618145,508,5.058922,,7.7057533,81.143845,24.392794,3.8614516,0.6767406,530.6,87.3,9.22,,
2009-11-11,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,4330.799,7.397639,48.39691,22.895174,,,485,2.1937218,,,84.85058,26.680695,4.133303,0.7863964,573,23.3,3.12,,
2009-11-11,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.040746216,4214.6504,5.7875,43.183636,1.2312812,,,461,1.7291689,,,81.02065,25.372679,3.900463,0.70118886,541,99.3,10.27,,
2009-07-07,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,4136.293,7.693926,48.531246,18.13451,,3.662339,479,1.7908201,,7.509394,82.697876,23.333868,4.164213,0.8408827,559.3,8.6,0.95,,
2009-07-07,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.020663932,3893.0974,6.0319653,43.49276,0.7253804,,3.9761667,446,1.7908201,,7.824474,79.49974,22.20549,3.9460456,0.90307295,540.1,78.2,7.22,,
2009-04-27,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.10351956,5025.07,5.1195607,49.960003,1.1628337,,,513,0.78125,,6.857131,78.73127,23.704487,3.6416903,1.1771182,513.8,75.5,8.33,,
2009-04-27,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,4201.867,7.2095575,63.01349,17.329058,,,480,2.8125,,6.9881797,87.01121,26.145359,4.2120776,1.3343227,562.8,14.7,1.58,,
2009-01-23,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.50775224,3110.8157,4.893025,40.458138,0,4.8919134,0.38245356,419,5.1193967,,,81.33857,23.444345,4.3459415,1.0126965,518.2,69.6,7.34,,
2008-10-14,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5329.699,6.93428,62.261253,12.900558,,0.48108307,,3.9982822,,7.394051,85.270485,25.250225,3.9655836,1.0741317,564.4,15.3,1.67,,
2008-10-14,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.03408261,5081.6284,4.7698197,47.247112,0,2.8913136,1.0368685,,5.2608976,,7.761132,79.29454,23.613121,3.816309,1.1288295,522.4,59.5,5.36,,
